ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
137,Ken-Ichiro Isoda 磯田健一郎 – Stress Clinic イライラ解消,https://www.youtube.com/watch?v=31esNeJhfnY,https://i.discogs.com/Q2f2ldx4wub7WPaLgy4JVdGpS-VsaQRqV5gD0HzfUiY/rs:fit/g:sm/q:90/h:600/w:587/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Mjkx/NDQwLTE2MTI2NDMw/NDgtMjA5OC5qcGVn.jpeg,Youtube,Ready,Chill,Album
138,Thievery Corporation - The Temple of I & I,https://www.youtube.com/watch?v=jE9h16eygg8,c9e830656f46659d5d75070ffeb5f727eefcf8a6.jpeg,Youtube,Ready,Chill,Album
139,Massive Attack - BBC1 Essential Mix [1994-11-12],https://www.youtube.com/watch?v=qhmdED0Nq4c,Screenshot_2025-03-06_at_11.09.34.png,Youtube,Ready,"Breaks, Chill, Hip Hop",Mix
140,Portishead - BBC1 Essential Mix [1995-04-23],https://www.youtube.com/watch?v=rGxJ3YlrsQU,https://i1.sndcdn.com/artworks-vLszeRrsRz5YknEC-QEBdTg-t500x500.jpg,Youtube,Ready,"Breaks, Chill, Hip Hop",Mix
141,The future sound of london - BBC1 Essential Mix,https://youtu.be/_8SBdkru4IY?si=1nUVaOfl_Y0gjKVn,https://ichef.bbci.co.uk/images/ic/1200x675/p03rkklz.jpg,Youtube,Ready,"Chill, Electronic",Mix
142,Modest by default - Semiotics (幽灵是巨大的),https://modestbydefault.bandcamp.com/album/semiotics,https://f4.bcbits.com/img/a1116582218_10.jpg,Bandcamp,Ready,Chill,Album
143,Pavel Kozenkov - Soundscapes,https://plexusmusic.bandcamp.com/album/soundscapes,https://f4.bcbits.com/img/a1025933880_10.jpg,Bandcamp,Ready,Chill,Album
144,Dovs - Psychic Geography,https://balmat.bandcamp.com/album/psychic-geography,https://f4.bcbits.com/img/a2866755047_10.jpg,Bandcamp,Ready,"Chill, Electronic",Album
146,Oskr1 - Eugenio presenta: SOLO ME RIO CUANDO COBRO,https://www.mixcloud.com/OSkr1/eugenio-presenta-solo-me-rio-cuando-cobro/,0275-826b-4cf3-9fed-2c45f8dee3cb.jpg,Mixcloud,Ready,"Breaks, Chill",Mix
147,Rockers Hi-Fi - DJ-Kicks: The Black Album ,https://www.youtube.com/watch?v=rBao1ROZVm8,https://i.discogs.com/knHKEYRtbJUCJ8G-bd4ASlwxbhRpzEfyhewo-pdWKyc/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjYy/MzAxLTE1MDYyNzM1/OTItMzE4MC5qcGVn.jpeg,Youtube,Ready,"Chill, dub, reggae",Mix
148,Nocolette - DJ Kicks,https://www.youtube.com/watch?v=QUsWZ0d3Ac8,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/7a/0c/a3/7a0ca383-f42e-5941-88b5-94872a5f1fa9/Nicolette_-_Nicolette_DJ-Kicks.jpg/1200x1200bf-60.jpg,Youtube,Ready,"Chill, Electronic",Mix
149,VVAA - Los Angeles: Critical Mass,https://www.youtube.com/watch?v=Qbwm5Kguksw,"https://m.media-amazon.com/images/I/61quL8+Z+-L._UF1000,1000_QL80_.jpg",Youtube,Ready,"Breaks, Chill, Electronic, triphop",Compilation
150,VVAA - Tektonic,https://www.youtube.com/watch?v=IpDp9bas0jU,"https://m.media-amazon.com/images/I/51RJ3mgXN1L._UF1000,1000_QL80_.jpg",Youtube,Ready,"Breaks, Chill, Electronic",Compilation
151,Bent - The everlasting Blink,https://www.youtube.com/watch?v=_1Wvhc4VTr4,1200x1200bb.jpg,Youtube,Ready,"Breaks, Chill",Album
152,Bop - Trippy Ambient Cassette-Only,https://www.youtube.com/watch?v=feHvyc69xe4,maxresdefault.jpg,Youtube,Ready,"Chill, Electronic",Mix
153,Kruder & Dorfmeister - DJ-Kicks,https://www.youtube.com/watch?v=7dkXBluaElk,https://f4.bcbits.com/img/a2398549208_10.jpg,Youtube,Ready,"Breaks, Chill, Electronic, triphop",Mix
154,VVAA - Headz: A Soundtrack of Beathead Jams,https://www.youtube.com/watch?v=pkNDhMxvArA,https://archive.org/services/img/headz-a-soundtrack-of-experimental-beathead-jams/full/pct:500/0/default.jpg,Youtube,Ready,"Breaks, Chill, Electronic, triphop",Mix
